"question","byvar","var","varname","0","1"
"q40a","age_band_6","17-24","Deafness/severe hearing impairment",98.9,1.1
"q40a","age_band_6","25-34","Deafness/severe hearing impairment",98.7,1.3
"q40a","age_band_6","35-44","Deafness/severe hearing impairment",98.3,1.7
"q40a","age_band_6","45-54","Deafness/severe hearing impairment",96.7,3.3
"q40a","age_band_6","55-64","Deafness/severe hearing impairment",93.7,6.3
"q40a","age_band_6","65 plus","Deafness/severe hearing impairment",79.9,20.1
"q40b","age_band_6","17-24","Blindness/severe vision impairment",99.3,0.7
"q40b","age_band_6","25-34","Blindness/severe vision impairment",99.4,0.6
"q40b","age_band_6","35-44","Blindness/severe vision impairment",99.4,0.6
"q40b","age_band_6","45-54","Blindness/severe vision impairment",99.3,0.7
"q40b","age_band_6","55-64","Blindness/severe vision impairment",98.9,1.1
"q40b","age_band_6","65 plus","Blindness/severe vision impairment",96.5,3.5
"q40c","age_band_6","17-24","Physical disability",97.2,2.8
"q40c","age_band_6","25-34","Physical disability",97.1,2.9
"q40c","age_band_6","35-44","Physical disability",95.8,4.2
"q40c","age_band_6","45-54","Physical disability",93.8,6.2
"q40c","age_band_6","55-64","Physical disability",91.2,8.8
"q40c","age_band_6","65 plus","Physical disability",85.6,14.4
"q40d","age_band_6","17-24","Chronic pain lasting at least 3 months",93.1,6.9
"q40d","age_band_6","25-34","Chronic pain lasting at least 3 months",90.7,9.3
"q40d","age_band_6","35-44","Chronic pain lasting at least 3 months",87.6,12.4
"q40d","age_band_6","45-54","Chronic pain lasting at least 3 months",83.6,16.4
"q40d","age_band_6","55-64","Chronic pain lasting at least 3 months",81.6,18.4
"q40d","age_band_6","65 plus","Chronic pain lasting at least 3 months",81.2,18.8
"q40e","age_band_6","17-24","Mental health condition",76.5,23.5
"q40e","age_band_6","25-34","Mental health condition",78.6,21.4
"q40e","age_band_6","35-44","Mental health condition",82.8,17.2
"q40e","age_band_6","45-54","Mental health condition",84.8,15.2
"q40e","age_band_6","55-64","Mental health condition",88.7,11.3
"q40e","age_band_6","65 plus","Mental health condition",94.9,5.1
"q40f","age_band_6","17-24","Learning disability",91.3,8.7
"q40f","age_band_6","25-34","Learning disability",95.4,4.6
"q40f","age_band_6","35-44","Learning disability",97.3,2.7
"q40f","age_band_6","45-54","Learning disability",98.5,1.5
"q40f","age_band_6","55-64","Learning disability",99,1
"q40f","age_band_6","65 plus","Learning disability",99.5,0.5
"q40f","age_band_6","17-24","Learning disability",91.3,8.7
"q40f","age_band_6","25-34","Learning disability",95.4,4.6
"q40f","age_band_6","35-44","Learning disability",97.3,2.7
"q40f","age_band_6","45-54","Learning disability",98.5,1.5
"q40f","age_band_6","55-64","Learning disability",99,1
"q40f","age_band_6","65 plus","Learning disability",99.5,0.5
"q40f","age_band_6","17-24","Learning disability",91.3,8.7
"q40f","age_band_6","25-34","Learning disability",95.4,4.6
"q40f","age_band_6","35-44","Learning disability",97.3,2.7
"q40f","age_band_6","45-54","Learning disability",98.5,1.5
"q40f","age_band_6","55-64","Learning disability",99,1
"q40f","age_band_6","65 plus","Learning disability",99.5,0.5
"q40f","age_band_6","17-24","Learning disability",91.3,8.7
"q40f","age_band_6","25-34","Learning disability",95.4,4.6
"q40f","age_band_6","35-44","Learning disability",97.3,2.7
"q40f","age_band_6","45-54","Learning disability",98.5,1.5
"q40f","age_band_6","55-64","Learning disability",99,1
"q40f","age_band_6","65 plus","Learning disability",99.5,0.5
