"question","varname","hscp_name","0","1"
"q40a","Deafness/severe hearing impairment","Aberdeen City",91.5,8.5
"q40a","Deafness/severe hearing impairment","Aberdeenshire",89.5,10.5
"q40a","Deafness/severe hearing impairment","Angus",87.5,12.5
"q40a","Deafness/severe hearing impairment","Argyll and Bute",87.3,12.7
"q40a","Deafness/severe hearing impairment","Clackmannanshire and Stirling",89.2,10.8
"q40a","Deafness/severe hearing impairment","Dumfries and Galloway",87.1,12.9
"q40a","Deafness/severe hearing impairment","Dundee City",89.1,10.9
"q40a","Deafness/severe hearing impairment","East Ayrshire",88.6,11.4
"q40a","Deafness/severe hearing impairment","East Dunbartonshire",90.7,9.3
"q40a","Deafness/severe hearing impairment","East Lothian",90.4,9.6
"q40a","Deafness/severe hearing impairment","East Renfrewshire",89.5,10.5
"q40a","Deafness/severe hearing impairment","Edinburgh",92.6,7.4
"q40a","Deafness/severe hearing impairment","Falkirk",90.2,9.8
"q40a","Deafness/severe hearing impairment","Highland",88.9,11.1
"q40a","Deafness/severe hearing impairment","Inverclyde",88.5,11.5
"q40a","Deafness/severe hearing impairment","Midlothian",91,9
"q40a","Deafness/severe hearing impairment","Moray",89.6,10.4
"q40a","Deafness/severe hearing impairment","North Ayrshire",88,12
"q40a","Deafness/severe hearing impairment","Orkney Islands",89.6,10.4
"q40a","Deafness/severe hearing impairment","Renfrewshire",89.1,10.9
"q40a","Deafness/severe hearing impairment","Scottish Borders",88.4,11.6
"q40a","Deafness/severe hearing impairment","Shetland Islands",87.7,12.3
"q40a","Deafness/severe hearing impairment","South Ayrshire",89.2,10.8
"q40a","Deafness/severe hearing impairment","South Lanarkshire",89.1,10.9
"q40a","Deafness/severe hearing impairment","West Dunbartonshire",89.8,10.2
"q40a","Deafness/severe hearing impairment","West Lothian",89.7,10.3
"q40a","Deafness/severe hearing impairment","Western Isles",89.1,10.9
"q40a","Deafness/severe hearing impairment","Fife",89.6,10.4
"q40a","Deafness/severe hearing impairment","Perth and Kinross",88.8,11.2
"q40a","Deafness/severe hearing impairment","Glasgow City",90.6,9.4
"q40a","Deafness/severe hearing impairment","North Lanarkshire",90.4,9.6
"q40b","Blindness/severe vision impairment","Aberdeen City",98.2,1.8
"q40b","Blindness/severe vision impairment","Aberdeenshire",98.3,1.7
"q40b","Blindness/severe vision impairment","Angus",98.2,1.8
"q40b","Blindness/severe vision impairment","Argyll and Bute",98.4,1.6
"q40b","Blindness/severe vision impairment","Clackmannanshire and Stirling",98.1,1.9
"q40b","Blindness/severe vision impairment","Dumfries and Galloway",97.9,2.1
"q40b","Blindness/severe vision impairment","Dundee City",98.3,1.7
"q40b","Blindness/severe vision impairment","East Ayrshire",97.5,2.5
"q40b","Blindness/severe vision impairment","East Dunbartonshire",98.7,1.3
"q40b","Blindness/severe vision impairment","East Lothian",98.2,1.8
"q40b","Blindness/severe vision impairment","East Renfrewshire",98.1,1.9
"q40b","Blindness/severe vision impairment","Edinburgh",98.7,1.3
"q40b","Blindness/severe vision impairment","Falkirk",98.2,1.8
"q40b","Blindness/severe vision impairment","Highland",98.3,1.7
"q40b","Blindness/severe vision impairment","Inverclyde",98,2
"q40b","Blindness/severe vision impairment","Midlothian",98.7,1.3
"q40b","Blindness/severe vision impairment","Moray",98.8,1.2
"q40b","Blindness/severe vision impairment","North Ayrshire",98.3,1.7
"q40b","Blindness/severe vision impairment","Orkney Islands",98.3,1.7
"q40b","Blindness/severe vision impairment","Renfrewshire",98.2,1.8
"q40b","Blindness/severe vision impairment","Scottish Borders",98.1,1.9
"q40b","Blindness/severe vision impairment","Shetland Islands",97.8,2.2
"q40b","Blindness/severe vision impairment","South Ayrshire",98.2,1.8
"q40b","Blindness/severe vision impairment","South Lanarkshire",97.8,2.2
"q40b","Blindness/severe vision impairment","West Dunbartonshire",97.9,2.1
"q40b","Blindness/severe vision impairment","West Lothian",98.4,1.6
"q40b","Blindness/severe vision impairment","Western Isles",97.9,2.1
"q40b","Blindness/severe vision impairment","Fife",98,2
"q40b","Blindness/severe vision impairment","Perth and Kinross",98.6,1.4
"q40b","Blindness/severe vision impairment","Glasgow City",97.5,2.5
"q40b","Blindness/severe vision impairment","North Lanarkshire",97.8,2.2
"q40c","Physical disability","Aberdeen City",92.5,7.5
"q40c","Physical disability","Aberdeenshire",92.7,7.3
"q40c","Physical disability","Angus",91.7,8.3
"q40c","Physical disability","Argyll and Bute",90,10
"q40c","Physical disability","Clackmannanshire and Stirling",90.9,9.1
"q40c","Physical disability","Dumfries and Galloway",89.2,10.8
"q40c","Physical disability","Dundee City",89.4,10.6
"q40c","Physical disability","East Ayrshire",88.2,11.8
"q40c","Physical disability","East Dunbartonshire",92.2,7.8
"q40c","Physical disability","East Lothian",92.4,7.6
"q40c","Physical disability","East Renfrewshire",91.1,8.9
"q40c","Physical disability","Edinburgh",93.3,6.7
"q40c","Physical disability","Falkirk",90.3,9.7
