"question","byvar","row_var","varname","hscp_name","%negative","%neutral","%positive"
"q32a","hscp","S37000001","I was aware of the help, care and support options available to me","Aberdeen City",24.8,23.2,52
"q32a","hscp","S37000002","I was aware of the help, care and support options available to me","Aberdeenshire",25.9,27.4,46.6
"q32a","hscp","S37000003","I was aware of the help, care and support options available to me","Angus",20.6,21.8,57.6
"q32a","hscp","S37000004","I was aware of the help, care and support options available to me","Argyll and Bute",20.7,26.7,52.6
"q32a","hscp","S37000005","I was aware of the help, care and support options available to me","Clackmannanshire and Stirling",27,22.6,50.4
"q32a","hscp","S37000006","I was aware of the help, care and support options available to me","Dumfries and Galloway",22.3,21.2,56.5
"q32a","hscp","S37000007","I was aware of the help, care and support options available to me","Dundee City",22.1,25.8,52.1
"q32a","hscp","S37000008","I was aware of the help, care and support options available to me","East Ayrshire",23.6,21.8,54.6
"q32a","hscp","S37000009","I was aware of the help, care and support options available to me","East Dunbartonshire",24.1,26.2,49.7
"q32a","hscp","S37000010","I was aware of the help, care and support options available to me","East Lothian",19.2,23.9,56.9
"q32a","hscp","S37000011","I was aware of the help, care and support options available to me","East Renfrewshire",17.1,26.2,56.7
"q32a","hscp","S37000012","I was aware of the help, care and support options available to me","Edinburgh",21.9,20.7,57.3
"q32a","hscp","S37000013","I was aware of the help, care and support options available to me","Falkirk",24,21.3,54.7
"q32a","hscp","S37000016","I was aware of the help, care and support options available to me","Highland",20.1,24.2,55.8
"q32a","hscp","S37000017","I was aware of the help, care and support options available to me","Inverclyde",24.6,27.9,47.6
"q32a","hscp","S37000018","I was aware of the help, care and support options available to me","Midlothian",25.4,19.8,54.7
"q32a","hscp","S37000019","I was aware of the help, care and support options available to me","Moray",28.5,27.9,43.6
"q32a","hscp","S37000020","I was aware of the help, care and support options available to me","North Ayrshire",24.8,26.4,48.8
"q32a","hscp","S37000022","I was aware of the help, care and support options available to me","Orkney Islands",23.3,19.1,57.6
"q32a","hscp","S37000024","I was aware of the help, care and support options available to me","Renfrewshire",24.3,24,51.8
"q32a","hscp","S37000025","I was aware of the help, care and support options available to me","Scottish Borders",20.9,23.8,55.3
"q32a","hscp","S37000026","I was aware of the help, care and support options available to me","Shetland Islands",9.2,20.6,70.2
"q32a","hscp","S37000027","I was aware of the help, care and support options available to me","South Ayrshire",19.7,26.3,54
"q32a","hscp","S37000028","I was aware of the help, care and support options available to me","South Lanarkshire",27.9,22.6,49.5
"q32a","hscp","S37000029","I was aware of the help, care and support options available to me","West Dunbartonshire",21.2,26.3,52.5
"q32a","hscp","S37000030","I was aware of the help, care and support options available to me","West Lothian",23.3,27.5,49.2
"q32a","hscp","S37000031","I was aware of the help, care and support options available to me","Western Isles",6.7,14.1,79.2
"q32a","hscp","S37000032","I was aware of the help, care and support options available to me","Fife",26.7,21.4,51.9
"q32a","hscp","S37000033","I was aware of the help, care and support options available to me","Perth and Kinross",19.7,20.8,59.5
"q32a","hscp","S37000034","I was aware of the help, care and support options available to me","Glasgow City",23.5,21.6,54.9
"q32a","hscp","S37000035","I was aware of the help, care and support options available to me","North Lanarkshire",27.7,23.2,49.1
"q32b","hscp","S37000001","I had a say in how my help, care or support was provided","Aberdeen City",20.2,24.3,55.6
