"question","byvar","var","varname","%negative","%neutral","%positive"
"q32a","sex","1","I was aware of the help, care and support options available to me",21.7,23.8,54.5
"q32a","sex","2","I was aware of the help, care and support options available to me",24.9,22.6,52.6
"q32b","sex","1","I had a say in how my help, care or support was provided",17.9,26.8,55.3
"q32b","sex","2","I had a say in how my help, care or support was provided",18.8,26.6,54.6
"q32c","sex","1","People took account of the things that mattered to me",13.3,23.1,63.7
"q32c","sex","2","People took account of the things that mattered to me",14.5,25.2,60.3
"q32d","sex","1","I was treated with compassion and understanding",8.8,19.7,71.5
"q32d","sex","2","I was treated with compassion and understanding",10.3,21.1,68.6
"q32e","sex","1","I felt safe",8.9,20.7,70.4
"q32e","sex","2","I felt safe",11.7,23.2,65.1
"q32f","sex","1"," I was supported to live as independently as possible",11.1,22.6,66.4
"q32f","sex","2"," I was supported to live as independently as possible",12,24.5,63.5
"q32g","sex","1","My health, support and care services seemed to be well coordinated",17.1,25.6,57.3
"q32g","sex","2","My health, support and care services seemed to be well coordinated",19.7,29.2,51.1
"q32h","sex","1","The help, care or support improved or maintained my quality of life",12.3,24.2,63.5
"q32h","sex","2","The help, care or support improved or maintained my quality of life",13.3,26.2,60.5
