"question","varname","hscp_name","0","1"
"q37a","A written plan about your caring role and support available to you","Aberdeen City",97.2,2.8
"q37a","A written plan about your caring role and support available to you","Aberdeenshire",97.9,2.1
"q37a","A written plan about your caring role and support available to you","Angus",96.6,3.4
"q37a","A written plan about your caring role and support available to you","Argyll and Bute",95,5
"q37a","A written plan about your caring role and support available to you","Clackmannanshire and Stirling",96.7,3.3
"q37a","A written plan about your caring role and support available to you","Dumfries and Galloway",96.2,3.8
"q37a","A written plan about your caring role and support available to you","Dundee City",97.7,2.3
"q37a","A written plan about your caring role and support available to you","East Ayrshire",96.9,3.1
"q37a","A written plan about your caring role and support available to you","East Dunbartonshire",97.4,2.6
"q37a","A written plan about your caring role and support available to you","East Lothian",96.4,3.6
"q37a","A written plan about your caring role and support available to you","East Renfrewshire",97.6,2.4
"q37a","A written plan about your caring role and support available to you","Edinburgh",97,3
"q37a","A written plan about your caring role and support available to you","Falkirk",96.8,3.2
"q37a","A written plan about your caring role and support available to you","Highland",97.4,2.6
"q37a","A written plan about your caring role and support available to you","Inverclyde",95.7,4.3
"q37a","A written plan about your caring role and support available to you","Midlothian",97.9,2.1
"q37a","A written plan about your caring role and support available to you","Moray",95,5
"q37a","A written plan about your caring role and support available to you","North Ayrshire",98,2
"q37a","A written plan about your caring role and support available to you","Orkney Islands",95.9,4.1
"q37a","A written plan about your caring role and support available to you","Renfrewshire",97.1,2.9
"q37a","A written plan about your caring role and support available to you","Scottish Borders",96.4,3.6
"q37a","A written plan about your caring role and support available to you","Shetland Islands",94.2,5.8
"q37a","A written plan about your caring role and support available to you","South Ayrshire",95.8,4.2
"q37a","A written plan about your caring role and support available to you","South Lanarkshire",97.7,2.3
"q37a","A written plan about your caring role and support available to you","West Dunbartonshire",96.2,3.8
"q37a","A written plan about your caring role and support available to you","West Lothian",97.3,2.7
"q37a","A written plan about your caring role and support available to you","Western Isles",95.5,4.5
"q37a","A written plan about your caring role and support available to you","Fife",97.2,2.8
"q37a","A written plan about your caring role and support available to you","Perth and Kinross",95.3,4.7
"q37a","A written plan about your caring role and support available to you","Glasgow City",97.2,2.8
"q37a","A written plan about your caring role and support available to you","North Lanarkshire",97.6,2.4
"q37b","Help from family/friends/neighbours","Aberdeen City",72,28
"q37b","Help from family/friends/neighbours","Aberdeenshire",72.1,27.9
"q37b","Help from family/friends/neighbours","Angus",77.3,22.7
"q37b","Help from family/friends/neighbours","Argyll and Bute",73.2,26.8
"q37b","Help from family/friends/neighbours","Clackmannanshire and Stirling",73.4,26.6
"q37b","Help from family/friends/neighbours","Dumfries and Galloway",73.8,26.2
"q37b","Help from family/friends/neighbours","Dundee City",77.3,22.7
"q37b","Help from family/friends/neighbours","East Ayrshire",74.1,25.9
"q37b","Help from family/friends/neighbours","East Dunbartonshire",70.9,29.1
"q37b","Help from family/friends/neighbours","East Lothian",71.7,28.3
"q37b","Help from family/friends/neighbours","East Renfrewshire",74,26
"q37b","Help from family/friends/neighbours","Edinburgh",72.3,27.7
"q37b","Help from family/friends/neighbours","Falkirk",72.2,27.8
"q37b","Help from family/friends/neighbours","Highland",71.5,28.5
"q37b","Help from family/friends/neighbours","Inverclyde",71.6,28.4
"q37b","Help from family/friends/neighbours","Midlothian",67.5,32.5
"q37b","Help from family/friends/neighbours","Moray",73,27
"q37b","Help from family/friends/neighbours","North Ayrshire",76.6,23.4
"q37b","Help from family/friends/neighbours","Orkney Islands",71.8,28.2
"q37b","Help from family/friends/neighbours","Renfrewshire",71.9,28.1
"q37b","Help from family/friends/neighbours","Scottish Borders",75.7,24.3
"q37b","Help from family/friends/neighbours","Shetland Islands",69.2,30.8
"q37b","Help from family/friends/neighbours","South Ayrshire",74.5,25.5
"q37b","Help from family/friends/neighbours","South Lanarkshire",72.9,27.1
"q37b","Help from family/friends/neighbours","West Dunbartonshire",69.1,30.9
"q37b","Help from family/friends/neighbours","West Lothian",75,25
"q37b","Help from family/friends/neighbours","Western Isles",63.7,36.3
"q37b","Help from family/friends/neighbours","Fife",73.7,26.3
"q37b","Help from family/friends/neighbours","Perth and Kinross",75.1,24.9
"q37b","Help from family/friends/neighbours","Glasgow City",72.7,27.3
"q37b","Help from family/friends/neighbours","North Lanarkshire",71.3,28.7
"q37c","Help from Carer Centre/local organisation","Aberdeen City",88,12
"q37c","Help from Carer Centre/local organisation","Aberdeenshire",89.8,10.2
"q37c","Help from Carer Centre/local organisation","Angus",90.2,9.8
"q37c","Help from Carer Centre/local organisation","Argyll and Bute",87.1,12.9
"q37c","Help from Carer Centre/local organisation","Clackmannanshire and Stirling",85.4,14.6
"q37c","Help from Carer Centre/local organisation","Dumfries and Galloway",87.3,12.7
"q37c","Help from Carer Centre/local organisation","Dundee City",91.3,8.7
"q37c","Help from Carer Centre/local organisation","East Ayrshire",88.1,11.9
"q37c","Help from Carer Centre/local organisation","East Dunbartonshire",84,16
"q37c","Help from Carer Centre/local organisation","East Lothian",87.9,12.1
"q37c","Help from Carer Centre/local organisation","East Renfrewshire",85.4,14.6
"q37c","Help from Carer Centre/local organisation","Edinburgh",87,13
"q37c","Help from Carer Centre/local organisation","Falkirk",88.8,11.2
"q37c","Help from Carer Centre/local organisation","Highland",91.3,8.7
