"question","byvar","var","varname","0","1"
"q37a","age_band_6","17-24","A written plan about your caring role and support available to you",98.7,1.3
"q37a","age_band_6","25-34","A written plan about your caring role and support available to you",97.8,2.2
"q37a","age_band_6","35-44","A written plan about your caring role and support available to you",97.8,2.2
"q37a","age_band_6","45-54","A written plan about your caring role and support available to you",97.5,2.5
"q37a","age_band_6","55-64","A written plan about your caring role and support available to you",97.1,2.9
"q37a","age_band_6","65 plus","A written plan about your caring role and support available to you",95.3,4.7
"q37b","age_band_6","17-24","Help from family/friends/neighbours",57.3,42.7
"q37b","age_band_6","25-34","Help from family/friends/neighbours",69.9,30.1
"q37b","age_band_6","35-44","Help from family/friends/neighbours",75.3,24.7
"q37b","age_band_6","45-54","Help from family/friends/neighbours",76.1,23.9
"q37b","age_band_6","55-64","Help from family/friends/neighbours",73.4,26.6
"q37b","age_band_6","65 plus","Help from family/friends/neighbours",71.5,28.5
"q37c","age_band_6","17-24","Help from Carer Centre/local organisation",93.1,6.9
"q37c","age_band_6","25-34","Help from Carer Centre/local organisation",93,7
"q37c","age_band_6","35-44","Help from Carer Centre/local organisation",92.8,7.2
"q37c","age_band_6","45-54","Help from Carer Centre/local organisation",89.9,10.1
"q37c","age_band_6","55-64","Help from Carer Centre/local organisation",88,12
"q37c","age_band_6","65 plus","Help from Carer Centre/local organisation",85.6,14.4
"q37d","age_band_6","17-24","Break(s) from caring",95.7,4.3
"q37d","age_band_6","25-34","Break(s) from caring",98.4,1.6
"q37d","age_band_6","35-44","Break(s) from caring",98.8,1.2
"q37d","age_band_6","45-54","Break(s) from caring",98.5,1.5
"q37d","age_band_6","55-64","Break(s) from caring",98.5,1.5
"q37d","age_band_6","65 plus","Break(s) from caring",97.5,2.5
"q37e","age_band_6","17-24","Services for the person(s) you care for, to enable you to have a break",98,2
"q37e","age_band_6","25-34","Services for the person(s) you care for, to enable you to have a break",97.9,2.1
"q37e","age_band_6","35-44","Services for the person(s) you care for, to enable you to have a break",98.5,1.5
"q37e","age_band_6","45-54","Services for the person(s) you care for, to enable you to have a break",97.8,2.2
"q37e","age_band_6","55-64","Services for the person(s) you care for, to enable you to have a break",97.8,2.2
"q37e","age_band_6","65 plus","Services for the person(s) you care for, to enable you to have a break",97.5,2.5
"q37f","age_band_6","17-24","Other support",93,7
"q37f","age_band_6","25-34","Other support",92.6,7.4
"q37f","age_band_6","35-44","Other support",92,8
"q37f","age_band_6","45-54","Other support",92.5,7.5
"q37f","age_band_6","55-64","Other support",91.5,8.5
"q37f","age_band_6","65 plus","Other support",92.9,7.1
"q37g","age_band_6","17-24","No support/help",51.7,48.3
"q37g","age_band_6","25-34","No support/help",40,60
"q37g","age_band_6","35-44","No support/help",35.3,64.7
"q37g","age_band_6","45-54","No support/help",36.2,63.8
"q37g","age_band_6","55-64","No support/help",41.1,58.9
"q37g","age_band_6","65 plus","No support/help",42.9,57.1
