"question","byvar","var","varname","0","1"
"q29a","sex","1","Yes,help for me with personal tasks",94.2,5.8
"q29a","sex","2","Yes,help for me with personal tasks",94,6
"q29b","sex","1","Yes, help for me with household tasks",94.7,5.3
"q29b","sex","2","Yes, help for me with household tasks",93.2,6.8
"q29c","sex","1","Yes, help for me for activities outside my home",95.6,4.4
"q29c","sex","2","Yes, help for me for activities outside my home",94.8,5.2
"q29d","sex","1","Yes, help for me with adaptations, and/or equipment for my home",97,3
"q29d","sex","2","Yes, help for me with adaptations, and/or equipment for my home",96.5,3.5
"q29e","sex","1","Yes, an alarm service that can get me help",98.6,1.4
"q29e","sex","2","Yes, an alarm service that can get me help",97.7,2.3
"q29f","sex","1","Yes, help to look after someone else",98.2,1.8
"q29f","sex","2","Yes, help to look after someone else",97.7,2.3
"q29g","sex","1","No, not had any help but I feel that I needed it",97.3,2.7
"q29g","sex","2","No, not had any help but I feel that I needed it",97.6,2.4
"q29h","sex","1","No, not had any help",12.1,87.9
"q29h","sex","2","No, not had any help",13.7,86.3
